player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_snap,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_snap,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_snap,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_snap,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
John Alan Richter,156999,QB,TOLEDO,5,81,62.5,16,18,10.5,2.53,0,0,0.0,50.0,9,7,10.0,20,24.7,1,3,,,,,67.1,57.1,72.4,,60.8,,,52.6,,,2,0,20,0.0,83.1,0.0,0,2,0,0,1,0,0.0,90,5.0,0,316,50.7,70.9,77.0,44.4,77.6,49,50,10.0,2.94,0,4,7.3,68.0,34,21,10.5,61,75.3,4,18,,,,,44.3,75.2,76.7,,80.4,,,45.6,,,0,0,66,23.8,112.7,8.2,5,6,0,1,3,1,1.5,407,8.1,74.5,51,51,8.5,2.36,0,2,3.6,64.7,33,0,13.2,53,65.4,5,14,,,,,70.1,78.7,76.1,,80.0,,,52.8,,,0,0,57,,99.2,0.0,0,2,0,0,3,0,0.0,289,5.7,2,71.4,14,17,16.1,3.73,0,2,11.1,58.8,10,28,0.0,28,34.6,0,7,,,,,27.7,54.5,73.6,,63.6,,,45.5,,,2,0,29,17.9,121.7,17.9,5,6,0,1,1,1,3.4,208,12.2
Cade McConnell,73935,QB,UTEP,4,81,68.8,16,17,4.3,1.8,0,0,0.0,58.8,10,8,9.1,19,23.5,1,6,,,,,25.1,35.6,72.7,,35.9,,,,,,0,1,22,12.5,100.6,5.3,1,0,0,1,2,2,9.1,142,8.4,0,330,31.2,53.3,59.8,40.8,72.2,54,54,8.7,2.76,0,5,8.9,55.6,30,16,23.1,62,76.5,9,16,,,,,70.4,67.1,76.7,,71.4,60.0,,47.1,,,0,2,65,25.0,76.0,6.5,4,4,0,0,2,5,7.7,398,7.4,75.4,57,57,6.6,2.15,0,4,6.7,61.4,35,0,18.6,57,70.4,8,17,,,,,70.2,69.2,76.3,,68.5,,,,,,0,2,60,,92.7,0.0,0,0,0,0,4,4,6.7,420,7.4,1,53.8,13,14,12.5,3.44,0,1,6.3,35.7,5,24,28.6,24,29.6,2,5,,,,,26.7,37.1,73.5,,42.3,60.0,,47.1,,,0,1,27,20.8,37.8,20.8,5,4,0,1,0,3,11.1,120,8.6
Brendan Sullivan,145034,QB,IOWA,6,81,87.5,16,18,6.2,3.16,0,0,0.0,61.1,11,10,21.4,21,25.9,3,8,,,,,67.5,70.1,72.8,,71.9,,,57.0,,,0,0,23,20.0,122.5,9.5,2,1,0,2,2,0,0.0,140,7.8,0,192,24.5,59.1,56.0,59.9,80.0,35,36,5.7,3.45,0,2,5.4,75.0,27,22,3.6,60,74.1,1,16,,,,,27.7,44.2,76.3,,47.0,,,51.3,,,0,3,61,27.3,77.8,10.0,6,18,0,1,1,5,8.2,334,9.3,89.7,39,39,4.7,2.63,0,1,2.5,79.5,31,0,11.4,49,60.5,4,18,,,,,25.7,75.3,75.6,,81.7,,,53.4,,,0,0,50,,129.3,0.0,0,10,0,0,3,1,2.0,346,8.9,2,58.3,12,15,9.7,4.52,0,1,5.9,46.7,7,32,0.0,32,39.5,0,6,,,,,68.5,27.9,74.2,,27.3,,,51.7,,,0,3,34,25.0,36.9,25.0,8,9,0,3,0,4,11.8,128,8.5
Jase Bauer,145714,QB,SM HOUSTON,7,81,70.0,20,22,7.8,2.36,0,2,8.7,54.5,12,7,14.3,25,30.9,2,6,,,,,67.8,55.7,73.3,,60.8,,,50.1,,,0,1,26,0.0,83.1,0.0,0,3,0,2,2,1,3.8,128,5.8,0,281,63.0,68.8,71.1,60.4,81.1,37,43,6.9,3.0,1,0,0.0,65.1,28,23,6.7,56,69.1,2,11,,,,66.7,70.3,68.7,76.2,,74.2,57.4,,51.8,,,0,0,58,17.4,73.4,7.1,4,9,0,5,0,0,0.0,176,4.1,80.0,40,44,8.2,2.35,1,2,4.3,65.9,29,0,9.4,51,63.0,3,11,,,,66.7,70.0,66.1,75.9,,74.5,57.4,,44.0,,,0,1,53,,83.8,0.0,0,7,0,3,2,1,1.9,223,5.1,0,70.6,17,21,4.8,3.58,0,0,0.0,52.4,11,30,8.3,30,37.0,1,6,,,,,68.3,60.9,73.9,,60.8,,,59.7,,,0,0,31,13.3,61.8,13.3,4,5,0,4,0,0,0.0,81,3.9
Zach Pyron,156309,QB,GA TECH,5,80,73.9,23,26,6.7,2.26,1,0,0.0,61.5,16,7,5.9,26,32.5,1,13,,,,,67.9,69.1,73.4,,68.6,,,,,,2,1,27,0.0,91.3,0.0,0,0,0,0,2,1,3.7,177,6.8,0,176,76.3,60.2,53.0,67.2,65.7,35,41,9.2,2.99,0,1,2.4,46.3,19,16,17.4,54,67.5,4,12,,,,,69.9,43.6,75.9,,43.5,,,55.8,,,2,2,54,25.0,44.0,7.4,4,9,2,2,0,4,7.4,232,5.7,72.0,50,53,6.7,2.33,1,0,0.0,62.3,33,0,8.3,57,71.3,3,21,,,,,70.1,47.0,76.1,,47.7,,,55.5,,,0,3,57,,67.0,0.0,0,4,2,0,1,5,8.8,386,7.3,1,50.0,8,14,17.8,3.8,0,1,6.7,14.3,2,23,50.0,23,28.8,2,4,,,,,67.6,65.7,73.0,,67.7,,,58.3,,,4,0,24,17.4,63.4,17.4,4,5,0,2,1,0,0.0,23,1.6
Aaron Philo,183222,QB,GA TECH,4,79,52.6,19,20,16.2,2.36,1,3,15.0,50.0,10,6,0.0,20,25.3,0,5,,,,,67.1,82.9,72.4,,82.1,,,,,,0,0,20,0.0,100.0,0.0,0,0,0,0,1,0,0.0,190,9.5,0,176,73.0,91.3,90.9,69.4,68.6,51,54,12.6,2.97,1,4,7.4,51.9,28,15,20.0,59,74.7,7,20,,,,,70.2,91.2,76.2,,90.4,,,71.0,,,1,2,59,0.0,58.8,0.0,0,5,0,1,0,1,1.7,375,6.9,70.9,55,56,12.6,2.61,1,5,8.9,57.1,32,0,17.9,58,73.4,7,21,,,,,70.1,93.0,76.2,,91.8,,,76.5,,,0,2,58,,73.1,0.0,0,2,0,0,1,1,1.7,434,7.8,1,40.0,15,18,17.3,3.37,1,2,11.1,33.3,6,21,0.0,21,26.6,0,4,,,,,67.2,67.7,72.5,,69.1,,,58.3,,,1,0,21,0.0,60.2,0.0,0,3,0,1,0,0,0.0,131,7.3
Maealiuaki Smith,183921,QB,OKLA STATE,4,79,63.3,30,31,9.1,2.14,1,1,2.9,54.8,17,9,10.5,33,41.8,2,9,,,,,68.7,45.9,74.4,,46.1,,,,,,0,1,36,22.2,61.2,6.1,2,0,0,0,0,2,5.6,200,6.5,0,262,74.0,53.9,51.7,62.5,66.7,42,44,7.7,2.39,0,1,2.1,61.4,27,8,3.6,46,58.2,1,12,,,,,69.6,58.8,75.6,,58.5,,,,,,1,3,50,25.0,67.1,4.3,2,0,0,1,2,3,6.0,287,6.5,70.5,61,61,7.8,2.19,0,1,1.5,67.2,41,0,4.7,62,78.5,2,20,,,,,70.5,56.5,76.7,,56.3,,,,,,0,3,67,,78.9,1.6,1,0,0,0,2,4,6.0,445,7.3,3,36.4,11,14,10.6,2.65,1,1,6.3,21.4,3,17,25.0,17,21.5,1,1,,,,,67.0,43.0,72.2,,43.0,,,,,,1,1,19,17.6,9.8,17.6,3,0,0,1,0,1,5.3,42,3.0
Tyriq Starks,156514,QB,FAU,4,77,71.4,21,22,7.5,2.89,1,0,0.0,63.6,14,11,6.7,26,33.8,1,10,,,,66.7,27.4,56.8,73.6,,53.6,89.2,,57.3,,,0,1,28,27.3,90.9,11.5,3,1,0,0,2,2,7.1,129,5.9,0,165,53.4,62.3,49.8,74.6,73.0,37,41,5.8,2.91,0,0,0.0,61.0,25,22,7.4,51,66.2,2,16,,,,,69.8,58.1,75.8,,49.9,,,73.8,,,1,1,53,9.1,118.1,3.9,2,8,0,3,4,2,3.8,422,10.3,84.6,39,40,4.4,2.33,1,0,0.0,75.0,30,0,9.1,44,57.1,3,17,,,,66.7,69.6,69.2,75.4,,59.6,89.2,,77.0,,,0,1,46,,129.5,0.0,0,4,0,0,4,2,4.3,403,10.1,0,47.4,19,23,10.5,3.67,0,0,0.0,39.1,9,33,0.0,33,42.9,0,9,,,,,29.1,42.6,74.3,,40.6,,,59.6,,,1,1,35,15.2,72.4,15.2,5,5,0,3,2,2,5.7,148,6.4
Goose Crowder,144781,QB,TROY,4,77,93.8,16,19,6.6,3.02,0,0,0.0,73.7,14,12,6.7,23,29.9,1,11,,,,,67.5,82.7,72.8,,80.6,,,66.4,,,2,0,23,8.3,131.3,4.3,1,3,0,1,2,0,0.0,149,7.8,0,318,30.1,84.5,85.7,63.4,79.1,43,44,9.2,2.99,0,5,10.9,65.9,29,14,14.7,54,70.1,5,18,,,,,25.4,79.4,76.3,,82.5,,,57.5,,,0,0,60,14.3,117.4,3.7,2,8,0,1,3,2,3.3,398,9.0,87.5,48,48,7.0,2.61,0,4,8.2,77.1,37,0,11.9,51,66.2,5,21,,,,,69.8,91.5,75.7,,91.0,,,66.4,,,0,0,52,,134.6,0.0,0,3,0,0,4,0,0.0,467,9.7,1,63.6,11,15,15.0,3.76,0,1,6.3,40.0,6,26,14.3,26,33.8,1,8,,,,,18.4,58.0,73.9,,59.6,,,57.4,,,2,0,31,11.5,79.9,11.5,3,8,0,2,1,2,6.5,80,5.3
Gunner Stockton,157072,QB,GEORGIA,4,76,73.9,23,24,3.1,2.57,1,0,0.0,70.8,17,12,0.0,29,38.2,0,8,,,,,68.1,50.5,73.7,,51.6,,,56.0,,,0,1,30,16.7,64.2,6.9,2,3,0,0,0,1,3.3,118,4.9,0,173,53.4,56.4,57.2,55.3,80.6,36,40,10.3,2.68,0,2,4.8,70.0,28,19,3.4,47,61.8,1,12,,,,,36.1,60.8,75.5,,61.6,,,57.0,,,1,0,49,26.3,102.3,10.6,5,1,0,3,1,2,4.1,322,8.1,81.0,42,43,6.1,2.25,1,0,0.0,79.1,34,0,0.0,45,59.2,0,13,,,,,69.5,66.5,75.4,,67.2,,,57.3,,,0,0,47,,102.4,0.0,0,1,0,0,1,1,2.1,289,6.7,0,70.6,17,21,10.9,3.19,0,2,9.1,52.4,11,31,8.3,31,40.8,1,7,,,,,27.7,43.2,74.0,,43.9,,,55.9,,,1,1,32,22.6,55.9,22.6,7,3,0,3,0,2,6.3,151,7.2
MJ Morris,157404,QB,MARYLAND,6,75,64.3,14,17,9.3,2.52,2,0,0.0,47.1,8,10,11.1,22,29.3,1,4,,,,,67.4,45.5,72.7,,48.4,,,53.1,,,1,3,22,30.0,38.5,13.6,3,2,0,0,1,3,13.6,70,4.1,0,215,74.6,59.2,56.5,64.1,72.1,43,44,8.3,2.56,0,3,6.3,63.6,28,21,9.7,53,70.7,3,14,,,,,70.1,60.2,76.2,,61.3,,,55.5,,,1,2,58,28.6,93.0,11.3,6,3,0,0,4,1,1.7,280,6.4,82.5,40,42,7.6,2.26,2,3,6.8,73.8,31,0,6.1,44,58.7,2,15,,,,,69.4,80.8,75.3,,80.0,,,62.0,,,0,2,46,,105.8,0.0,0,2,0,0,4,1,2.2,305,7.3,1,41.2,17,19,10.8,2.96,0,0,0.0,26.3,5,31,28.6,31,41.3,2,3,,,,,68.5,28.1,74.2,,28.8,,,48.2,,,2,3,34,29.0,17.5,29.0,9,3,0,0,1,3,8.8,45,2.4
Nicco Marchiol,157363,QB,W VIRGINIA,7,75,80.0,10,10,10.1,2.79,0,1,10.0,80.0,8,6,0.0,14,18.7,0,6,,,,,66.2,72.2,71.2,,79.5,,,51.6,,,0,0,14,33.3,146.7,14.3,2,2,0,0,1,0,0.0,112,11.2,0,343,42.1,60.1,65.6,52.3,73.3,45,46,9.9,3.37,0,4,7.8,63.0,29,15,12.1,61,81.3,4,14,,,,,43.7,50.6,76.8,,60.0,,,37.5,,,1,2,66,40.0,94.7,9.8,6,9,0,0,4,4,6.1,322,7.0,75.0,48,48,10.0,2.93,0,5,9.6,68.8,33,0,8.3,54,72.0,3,20,,,,,40.7,65.9,76.2,,73.7,,,39.6,,,0,2,58,,112.9,0.0,0,6,0,0,5,4,6.9,417,8.7,0,71.4,7,8,9.1,4.1,0,0,0.0,50.0,4,21,20.0,21,28.0,1,0,,,,,67.4,33.3,73.0,,40.4,,,45.4,,,1,0,22,38.1,56.3,38.1,8,5,0,0,0,0,0.0,17,2.1
Tyler Van Dyke,122225,QB,WISCONSIN,3,74,75.0,24,24,9.3,2.83,0,2,7.7,70.8,17,7,5.6,26,35.1,1,11,,,,,68.0,86.7,73.5,,87.8,,,57.3,,,0,0,28,14.3,112.7,3.8,1,1,0,0,1,0,0.0,217,9.0,0,349,47.9,72.9,77.5,52.6,71.8,39,44,5.7,2.95,0,0,0.0,59.1,26,12,7.1,48,64.9,2,11,,,,,30.9,64.0,75.7,,65.5,,,53.5,,,1,0,51,25.0,70.7,6.3,3,1,0,4,0,1,2.0,205,4.7,77.4,53,54,6.5,2.49,0,0,0.0,70.4,38,0,7.3,55,74.3,3,18,,,,,70.1,83.3,76.2,,83.4,,,57.0,,,0,0,58,,94.2,1.8,1,0,0,1,1,0,0.0,354,6.6,1,50.0,10,14,9.8,4.12,0,2,12.5,35.7,5,19,0.0,19,25.7,0,4,,,,,21.7,51.0,72.5,,53.9,,,53.8,,,1,0,21,15.8,52.1,15.8,3,2,0,3,0,1,4.8,68,4.9
Cameron Rising,77663,QB,UTAH,3,74,73.7,19,20,11.3,2.43,0,0,0.0,65.0,13,5,7.1,20,27.0,1,10,,,,,67.4,57.0,72.7,,56.9,,,,,,0,0,22,0.0,140.0,0.0,0,0,0,1,5,1,4.5,212,10.6,0,328,71.1,49.9,46.9,64.9,58.1,43,46,9.5,3.05,0,1,2.1,45.7,21,16,16.0,54,73.0,4,16,,,,,70.0,47.1,76.0,,44.4,,,64.9,,,1,3,56,18.8,58.5,5.6,3,5,0,2,2,3,5.4,343,7.5,65.3,49,49,10.0,2.68,0,1,2.0,57.1,28,0,12.5,53,71.6,4,22,,,,,70.0,60.1,75.9,,61.1,,,55.6,,,0,2,55,,112.7,0.0,0,4,0,0,7,2,3.6,475,9.7,1,53.8,13,17,10.2,3.39,0,0,0.0,35.3,6,21,14.3,21,28.4,1,4,,,,,67.5,31.3,72.8,,28.6,,,69.0,,,1,1,23,14.3,26.6,14.3,3,1,0,3,0,2,8.7,80,4.7
Mike Wright,124366,QB,NWESTERN,3,72,65.0,20,22,8.5,3.1,0,1,4.3,59.1,13,9,0.0,27,37.5,0,10,,,,,68.1,42.7,73.6,,41.9,,,56.9,,,1,1,29,0.0,55.3,0.0,0,5,0,1,0,3,10.3,121,5.5,0,256,74.1,62.2,57.9,65.8,69.2,39,44,10.1,2.57,1,1,2.2,56.8,25,11,7.4,45,62.5,2,14,,,,,69.5,70.3,75.4,,68.2,,,64.3,,,1,0,47,0.0,71.5,0.0,0,1,0,3,0,1,2.1,233,5.3,72.9,48,49,8.1,2.35,1,2,4.0,67.3,33,0,5.7,52,72.2,2,19,,,,,69.8,73.5,75.8,,74.2,,,57.1,,,0,1,53,,75.8,0.0,0,3,0,0,0,1,1.9,307,6.3,0,45.5,11,17,15.8,3.86,0,0,0.0,29.4,5,20,0.0,20,27.8,0,5,,,,,67.5,32.8,72.8,,29.2,,,63.5,,,2,0,23,0.0,39.6,0.0,0,3,0,4,0,3,13.0,47,2.8
Collin Schlee,98025,QB,VA TECH,6,71,60.0,20,20,11.4,3.09,0,1,4.5,55.0,11,15,8.3,28,39.4,1,8,,,,,68.5,47.0,74.4,,47.2,59.1,,56.8,,,0,0,33,20.0,102.9,10.7,3,5,0,0,1,2,6.1,184,9.2,0,337,42.4,61.4,52.6,68.4,63.6,33,34,12.1,3.16,0,1,2.8,47.1,16,16,23.8,43,60.6,5,10,,,,,69.4,54.7,76.0,,58.5,56.0,,51.0,,,0,1,46,18.8,76.1,7.0,3,6,0,1,2,1,2.2,224,6.6,66.7,39,39,10.6,2.3,0,1,2.4,53.8,21,0,19.2,40,56.3,5,12,,,,,69.1,56.9,75.7,,58.6,55.9,,56.2,,,0,1,42,,85.0,0.0,0,1,0,0,2,1,2.4,296,7.6,0,50.0,14,15,15.1,4.21,0,1,5.9,40.0,6,31,14.3,31,43.7,1,6,,,,,68.8,45.1,74.8,,46.7,58.5,,53.4,,,0,0,37,19.4,88.8,19.4,6,10,0,1,1,2,5.4,112,7.5
JP Pickles,183996,QB,UTEP,3,69,46.2,13,16,13.7,2.73,1,0,0.0,37.5,6,10,0.0,18,26.1,0,4,,,,,67.0,39.7,72.2,,39.8,,,,,,0,0,19,20.0,48.4,11.1,2,0,0,2,0,1,5.3,58,3.6,0,330,76.3,58.3,46.7,69.2,78.1,32,36,5.8,3.0,0,1,2.7,63.9,23,15,8.0,51,73.9,2,12,,,,,69.8,58.3,75.8,,54.2,54.3,,65.5,,,1,1,52,26.7,61.7,7.8,4,10,0,3,0,1,1.9,155,4.3,69.4,36,38,7.7,2.47,1,1,2.6,63.2,24,0,4.0,44,63.8,1,14,,,,,69.4,60.4,75.3,,54.2,54.3,,73.7,,,0,1,45,,62.4,0.0,0,5,0,1,0,1,2.2,170,4.5,0,66.7,9,14,9.3,3.74,0,0,0.0,35.7,5,25,16.7,25,36.2,1,2,,,,,67.8,38.8,73.3,,39.0,,,54.2,,,1,0,26,24.0,44.6,24.0,6,5,0,4,0,1,3.8,43,3.1
Tucker Kilcrease,156863,QB,TROY,6,69,55.6,18,20,11.2,2.79,0,0,0.0,50.0,10,15,0.0,27,39.1,0,7,,,,,67.9,47.6,73.4,,50.3,,,52.8,,,1,0,27,33.3,64.8,18.5,5,2,0,1,0,1,3.7,101,5.1,0,318,57.8,53.1,58.4,50.6,64.3,28,31,12.1,3.18,0,3,9.1,58.1,18,19,0.0,42,60.9,0,14,,,,,69.3,59.6,75.2,,64.8,,,51.1,,,3,1,45,15.8,106.4,7.1,3,8,0,0,3,3,6.7,276,8.9,67.6,34,34,10.2,2.25,0,2,5.7,67.6,23,0,0.0,35,50.7,0,15,,,,,68.7,67.9,74.4,,68.8,,,57.0,,,0,1,36,,112.5,0.0,0,1,0,0,3,3,8.3,301,8.9,0,41.7,12,17,16.1,3.81,0,1,5.6,29.4,5,34,0.0,34,49.3,0,6,,,,,68.6,39.6,74.4,,43.1,,,49.9,,,4,0,36,23.5,45.7,23.5,8,9,0,1,0,1,2.8,76,4.5
Will Hammond,184898,QB,TEXAS TECH,4,66,73.9,23,25,7.2,2.11,1,3,11.5,64.0,16,5,5.9,29,43.9,1,9,,,,,68.3,70.7,74.0,,71.5,60.0,,59.5,,,0,0,31,20.0,119.1,3.4,1,2,0,1,2,0,0.0,222,8.9,0,315,29.1,61.5,61.4,58.6,66.7,30,31,10.5,2.81,1,0,0.0,58.1,18,7,10.0,37,56.1,2,14,,,,,29.7,54.1,74.5,,52.3,,,62.4,,,0,2,37,28.6,58.3,5.4,2,4,0,0,0,4,10.8,258,8.3,71.7,46,48,7.7,2.28,2,2,4.1,62.5,30,0,9.1,54,81.8,3,20,,,,,39.9,61.9,76.0,,62.5,,,57.9,,,0,1,56,,88.7,1.9,1,5,0,0,1,3,5.4,418,8.7,1,57.1,7,8,18.1,3.53,0,1,12.5,50.0,4,12,0.0,12,18.2,0,3,,,,,65.8,61.8,71.0,,57.6,60.0,,64.3,,,0,1,12,16.7,76.0,16.7,2,1,0,1,1,1,8.3,62,7.8
Justin Lamson,144052,QB,STANFORD,8,66,64.3,28,30,15.4,2.76,1,5,16.1,53.3,16,18,11.1,37,56.1,2,14,,,,,30.6,76.1,74.8,,75.3,55.8,,64.6,,,1,2,38,22.2,92.4,10.8,4,3,0,0,4,3,7.9,245,8.2,0,300,34.6,65.1,58.2,66.8,56.3,16,17,11.4,3.81,0,0,0.0,52.9,9,14,0.0,29,43.9,0,5,,,,,68.4,44.3,74.4,,36.1,58.3,,73.6,,,0,0,32,64.3,59.7,31.0,9,3,0,1,0,1,3.1,55,3.2,61.3,31,32,14.3,2.62,1,3,8.6,56.3,18,0,5.3,34,51.5,1,10,,,,,68.8,71.9,74.6,,68.7,57.8,,70.0,,,0,1,37,,94.4,0.0,0,2,0,0,3,2,5.4,209,6.5,0,61.5,13,15,13.2,3.86,0,2,13.3,46.7,7,32,12.5,32,48.5,1,9,,,,,28.9,50.6,74.6,,45.1,56.8,,68.2,,,1,1,33,40.6,60.7,40.6,13,4,0,1,1,2,6.1,91,6.1
Trexler Ivey,122184,QB,CHARLOTTE,4,63,43.5,23,26,6.1,2.21,0,0,0.0,38.5,10,4,0.0,26,41.3,0,7,,,,,68.3,29.2,73.9,,29.3,,,,,,0,2,31,0.0,17.1,0.0,0,0,0,3,0,3,9.7,94,3.6,0,136,72.7,55.5,52.8,63.4,77.4,31,33,8.4,2.42,0,2,5.9,72.7,24,7,0.0,37,58.7,0,10,,,,,68.9,78.4,74.6,,77.6,,,62.0,,,0,0,38,28.6,122.3,5.4,2,2,0,2,3,0,0.0,232,7.0,64.7,51,51,6.8,2.11,0,2,3.6,64.7,33,0,0.0,52,82.5,0,16,,,,,70.1,61.1,76.1,,59.4,,,64.1,,,0,1,57,,92.5,0.0,0,1,0,0,3,2,3.5,307,6.0,0,33.3,3,8,16.7,3.36,0,0,0.0,12.5,1,11,0.0,11,17.5,0,1,,,,,65.8,32.5,70.7,,33.8,,,57.3,,,0,1,12,18.2,0.0,18.2,2,1,0,5,0,1,8.3,19,2.4
Jack Tuttle,83580,QB,MICHIGAN,2,62,64.3,14,16,9.3,2.53,1,1,5.9,56.3,9,6,0.0,18,29.0,0,6,,,,,23.4,31.4,72.2,,44.3,,,34.9,,,0,0,19,0.0,94.8,0.0,0,2,0,1,1,2,10.5,96,6.0,0,222,20.7,29.1,33.9,32.4,65.6,32,34,6.2,3.16,1,0,0.0,61.8,21,18,0.0,44,71.0,0,8,,,,,21.9,28.8,75.1,,34.5,,,33.7,,,0,2,44,33.3,54.8,13.6,6,4,0,1,0,4,9.1,210,6.2,67.6,37,38,7.1,2.48,1,1,2.6,65.8,25,0,0.0,38,61.3,0,12,,,,,68.9,37.1,74.7,,37.4,,,,,,0,2,39,,64.4,0.0,0,0,0,0,0,3,7.7,268,7.1,0,55.6,9,12,7.2,3.78,1,0,0.0,41.7,5,24,0.0,24,38.7,0,2,,,,,8.7,25.8,73.0,,39.3,,,25.7,,,0,0,24,25.0,77.8,25.0,6,6,0,2,1,3,12.5,38,3.2
Alex Orji,158545,QB,MICHIGAN,7,61,65.0,20,23,6.6,2.62,2,0,0.0,56.5,13,12,0.0,29,47.5,0,3,,,,,68.1,50.9,74.0,,56.4,55.8,,48.6,,,0,0,29,25.0,77.1,10.3,3,3,0,1,1,0,0.0,74,3.2,0,222,47.6,59.2,39.4,70.3,59.1,22,24,7.9,3.41,2,0,0.0,50.0,12,16,7.7,32,52.5,1,7,,,,,68.5,31.1,74.2,,30.0,,,53.5,,,0,2,33,0.0,50.0,0.0,0,8,0,0,2,3,9.1,76,3.2,75.0,28,30,4.7,2.38,2,0,0.0,66.7,20,0,4.8,33,54.1,1,8,,,,,68.5,63.6,74.5,,65.3,55.8,,58.0,,,0,0,33,,105.7,0.0,0,3,0,0,3,0,0.0,106,3.5,0,35.7,14,17,12.5,3.81,2,0,0.0,29.4,5,28,0.0,28,45.9,0,2,,,,,68.1,26.3,73.6,,26.4,,,47.4,,,0,2,29,10.7,0.0,10.7,3,8,0,1,0,3,10.3,44,2.6
